compte_courant,historique_credit,epargne,anciennete_emploi,patrimoine,logement,autres_credits,objet_credit,situation_familiale,age,montant_credit,duree_mois,taux_effort,anciennete_logement,nb_credits_en_cours,personnes_a_charge,defaut
solde negatif,tous rembourses,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,credit dans une autre banque,equipement maison,celibataire,33,3134,5,4,4,2,0,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,assurance vie,proprietaire,aucun,tv hifi,celibataire,26,1198,25,4,4,2,1,0
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,voiture,proprietaire,credit dans un magasin,voiture neuve,marie,32,2195,22,4,1,1,2,1
pas de compte,tous rembourses,100 a 500 euros,4 a 7 ans,assurance vie,proprietaire,aucun,business,marie,48,2115,15,3,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,aucun,equipement maison,celibataire,34,2788,5,1,2,1,0,1
pas de compte,credits en cours ok,pas d epargne,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,tv hifi,marie,32,3101,40,4,2,1,0,0
solde negatif,defauts passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,41,3652,21,2,3,1,1,1
solde negatif,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,voiture neuve,divorce,49,2896,36,4,4,2,0,1
pas de compte,defauts passes,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,equipement maison,celibataire,24,1021,38,3,4,2,2,0
plus de 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,etudes,celibataire,38,1242,25,4,4,2,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,celibataire,30,1647,27,4,4,1,2,1
0 a 200 euros,tous rembourses,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,business,veuf,34,1992,13,4,2,2,0,0
0 a 200 euros,tous rembourses,500 a 1000 euros,1 a 4 ans,voiture,locataire,aucun,equipement maison,marie,42,5201,20,4,2,2,1,0
solde negatif,aucun credit,100 a 500 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,divorce,31,1056,33,3,1,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,voiture neuve,celibataire,33,1887,11,2,4,2,1,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,electromenager,celibataire,47,4847,31,4,2,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture occasion,celibataire,39,1967,30,3,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,etudes,marie,33,3400,30,1,2,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,aucun,proprietaire,aucun,business,marie,35,2207,19,3,2,2,2,0
pas de compte,tous rembourses,pas d epargne,1 a 4 ans,assurance vie,loge gratuitement,aucun,business,marie,35,2936,12,1,1,1,1,0
pas de compte,aucun credit,moins de 100 euros,moins de 1 an,immobilier,loge gratuitement,aucun,tv hifi,celibataire,19,2070,48,3,2,1,0,0
0 a 200 euros,tous rembourses,100 a 500 euros,4 a 7 ans,voiture,proprietaire,aucun,tv hifi,veuf,36,3945,39,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,21,802,19,2,1,1,0,0
pas de compte,credits en cours ok,pas d epargne,4 a 7 ans,aucun,proprietaire,aucun,voiture neuve,veuf,49,1879,22,1,2,1,1,0
solde negatif,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,locataire,aucun,tv hifi,celibataire,21,3022,16,4,1,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,sans emploi,immobilier,proprietaire,aucun,voiture neuve,marie,29,3584,5,4,2,1,1,0
0 a 200 euros,retards passes,moins de 100 euros,plus de 7 ans,aucun,proprietaire,aucun,equipement maison,celibataire,27,7150,18,4,2,1,0,1
pas de compte,credits en cours ok,pas d epargne,1 a 4 ans,voiture,loge gratuitement,credit dans une autre banque,voiture neuve,marie,55,1842,25,2,2,2,2,0
plus de 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,aucun,locataire,aucun,voiture neuve,marie,48,7081,13,4,4,1,2,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,aucun,equipement maison,marie,19,1519,15,3,2,2,1,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,marie,34,6353,15,2,2,1,0,0
pas de compte,retards passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,credit dans un magasin,tv hifi,marie,22,4397,20,1,3,1,1,0
0 a 200 euros,defauts passes,100 a 500 euros,1 a 4 ans,voiture,locataire,aucun,voiture neuve,marie,36,1264,16,2,2,1,0,0
0 a 200 euros,aucun credit,100 a 500 euros,4 a 7 ans,voiture,loge gratuitement,aucun,equipement maison,divorce,42,3044,11,1,2,1,0,1
0 a 200 euros,credits en cours ok,100 a 500 euros,plus de 7 ans,voiture,proprietaire,credit dans une autre banque,voiture neuve,celibataire,37,2352,20,4,3,1,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,tv hifi,marie,43,3829,24,1,2,2,0,1
pas de compte,tous rembourses,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,tv hifi,marie,31,2078,21,3,4,2,0,0
pas de compte,credits en cours ok,plus de 1000 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,celibataire,37,1956,5,3,3,1,0,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,tv hifi,marie,42,6540,27,2,4,1,0,0
0 a 200 euros,tous rembourses,pas d epargne,4 a 7 ans,voiture,locataire,aucun,equipement maison,celibataire,29,2273,9,4,4,2,1,0
solde negatif,retards passes,pas d epargne,plus de 7 ans,immobilier,locataire,aucun,tv hifi,celibataire,25,4425,24,2,1,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,equipement maison,celibataire,27,2075,25,4,2,2,0,0
pas de compte,tous rembourses,500 a 1000 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,32,8103,7,2,2,3,0,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,tv hifi,marie,34,1498,31,4,2,3,2,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,38,1568,47,4,4,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,tv hifi,veuf,26,7315,16,4,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,sans emploi,voiture,locataire,aucun,tv hifi,marie,43,1772,24,4,3,1,2,1
0 a 200 euros,aucun credit,100 a 500 euros,4 a 7 ans,aucun,proprietaire,aucun,voiture occasion,celibataire,59,7729,14,4,3,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,locataire,credit dans une autre banque,voiture neuve,divorce,28,4638,9,3,1,2,2,1
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,voiture,locataire,aucun,voiture neuve,divorce,70,2183,32,3,3,1,0,0
0 a 200 euros,credits en cours ok,plus de 1000 euros,plus de 7 ans,assurance vie,locataire,aucun,business,marie,62,661,24,4,4,2,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,tv hifi,marie,34,2407,12,4,3,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,aucun,locataire,aucun,voiture neuve,veuf,32,2626,9,1,2,2,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,moins de 1 an,assurance vie,locataire,aucun,equipement maison,marie,27,5656,49,3,4,2,0,1
solde negatif,credits en cours ok,100 a 500 euros,4 a 7 ans,assurance vie,proprietaire,aucun,tv hifi,divorce,45,7659,7,4,2,2,1,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,credit dans une autre banque,reparations,celibataire,35,1490,26,3,3,1,1,1
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture neuve,celibataire,36,4345,21,2,3,1,0,0
pas de compte,tous rembourses,100 a 500 euros,sans emploi,immobilier,proprietaire,aucun,voiture occasion,marie,25,4235,29,3,2,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,locataire,aucun,etudes,marie,45,5286,42,4,4,1,0,0
pas de compte,retards passes,500 a 1000 euros,moins de 1 an,voiture,proprietaire,aucun,voiture neuve,divorce,31,3495,4,4,4,1,0,0
solde negatif,aucun credit,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,veuf,23,603,10,3,1,2,1,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,voiture,proprietaire,aucun,business,celibataire,33,2182,17,2,4,2,0,0
solde negatif,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,26,1062,44,2,3,2,1,0
0 a 200 euros,aucun credit,100 a 500 euros,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,voiture occasion,divorce,52,2109,14,1,4,1,0,1
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,credit dans un magasin,voiture neuve,marie,62,4942,13,4,4,2,0,1
solde negatif,credits en cours ok,100 a 500 euros,4 a 7 ans,aucun,proprietaire,aucun,voiture neuve,celibataire,33,3040,4,4,3,1,0,1
0 a 200 euros,tous rembourses,500 a 1000 euros,sans emploi,immobilier,locataire,credit dans une autre banque,voiture occasion,marie,48,5578,12,2,4,2,0,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,aucun,proprietaire,aucun,etudes,marie,47,3121,26,4,2,1,0,0
pas de compte,credits en cours ok,plus de 1000 euros,4 a 7 ans,voiture,loge gratuitement,aucun,equipement maison,marie,19,958,17,4,2,2,1,0
pas de compte,tous rembourses,pas d epargne,4 a 7 ans,voiture,loge gratuitement,aucun,tv hifi,marie,27,397,12,2,4,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,business,celibataire,35,2717,49,2,4,1,0,0
0 a 200 euros,credits en cours ok,pas d epargne,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,veuf,29,2092,16,4,4,2,1,0
0 a 200 euros,credits en cours ok,500 a 1000 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture neuve,marie,26,1208,20,3,4,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,marie,48,717,11,4,3,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,plus de 7 ans,assurance vie,proprietaire,aucun,formation,celibataire,29,1438,9,3,2,1,0,0
0 a 200 euros,retards passes,moins de 100 euros,4 a 7 ans,aucun,proprietaire,aucun,electromenager,marie,38,2122,28,4,4,1,0,1
pas de compte,tous rembourses,moins de 100 euros,sans emploi,assurance vie,proprietaire,aucun,voiture neuve,celibataire,47,3942,6,4,2,1,2,0
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,53,2796,25,4,4,2,1,0
solde negatif,retards passes,100 a 500 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,marie,23,7768,4,4,3,2,0,1
0 a 200 euros,tous rembourses,100 a 500 euros,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,formation,celibataire,24,1158,23,4,4,1,0,1
0 a 200 euros,aucun credit,moins de 100 euros,1 a 4 ans,voiture,loge gratuitement,credit dans une autre banque,voiture neuve,marie,36,4603,9,4,2,1,2,0
pas de compte,tous rembourses,plus de 1000 euros,moins de 1 an,voiture,locataire,credit dans une autre banque,tv hifi,celibataire,19,2525,10,2,4,1,0,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,etudes,marie,24,4025,16,3,3,1,0,0
pas de compte,credits en cours ok,plus de 1000 euros,4 a 7 ans,voiture,loge gratuitement,aucun,equipement maison,celibataire,50,1782,8,4,4,1,1,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,42,5280,5,4,1,1,1,0
0 a 200 euros,retards passes,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,32,3019,17,2,3,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,moins de 1 an,aucun,proprietaire,aucun,voiture occasion,divorce,40,1496,29,1,4,2,1,1
pas de compte,credits en cours ok,100 a 500 euros,plus de 7 ans,assurance vie,proprietaire,credit dans un magasin,voiture occasion,divorce,43,2420,21,4,4,2,1,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,business,celibataire,20,2054,35,2,4,1,1,0
solde negatif,tous rembourses,pas d epargne,plus de 7 ans,immobilier,proprietaire,aucun,voiture occasion,marie,29,3471,5,3,1,2,1,0
pas de compte,credits en cours ok,pas d epargne,plus de 7 ans,immobilier,proprietaire,aucun,equipement maison,marie,69,1044,15,4,1,2,0,0
pas de compte,retards passes,moins de 100 euros,plus de 7 ans,voiture,locataire,aucun,tv hifi,veuf,52,2390,19,4,3,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,credit dans une autre banque,voiture neuve,celibataire,37,3244,11,1,1,1,1,0
plus de 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,voiture,loge gratuitement,credit dans une autre banque,equipement maison,marie,37,2499,20,2,4,2,2,0
pas de compte,retards passes,500 a 1000 euros,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,tv hifi,celibataire,33,6437,34,2,2,2,0,1
solde negatif,tous rembourses,pas d epargne,plus de 7 ans,voiture,proprietaire,aucun,etudes,celibataire,19,4261,25,2,3,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,locataire,aucun,tv hifi,veuf,27,2427,36,4,1,1,2,0
pas de compte,credits en cours ok,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,39,2853,22,3,3,2,0,0
plus de 200 euros,credits en cours ok,100 a 500 euros,moins de 1 an,voiture,loge gratuitement,aucun,voiture neuve,celibataire,29,3020,18,2,2,2,0,1
plus de 200 euros,tous rembourses,100 a 500 euros,1 a 4 ans,assurance vie,proprietaire,aucun,business,celibataire,23,3263,42,1,1,2,1,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,locataire,aucun,voiture neuve,marie,24,656,20,2,2,2,2,0
solde negatif,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,tv hifi,marie,53,1964,47,4,2,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture occasion,celibataire,28,838,31,3,4,1,1,1
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,business,veuf,49,6126,12,4,2,1,0,0
pas de compte,tous rembourses,100 a 500 euros,1 a 4 ans,voiture,proprietaire,credit dans un magasin,tv hifi,celibataire,37,2336,16,4,3,2,2,0
solde negatif,tous rembourses,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,31,2123,42,3,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,loge gratuitement,aucun,voiture neuve,divorce,26,4655,35,4,4,1,2,1
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,42,3308,28,2,4,2,0,0
pas de compte,tous rembourses,100 a 500 euros,1 a 4 ans,voiture,locataire,aucun,tv hifi,celibataire,47,1083,27,4,4,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,tv hifi,marie,43,2319,8,2,3,1,0,0
pas de compte,tous rembourses,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,divorce,21,1917,9,4,4,1,0,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,loge gratuitement,credit dans une autre banque,business,celibataire,28,695,21,1,1,1,1,0
solde negatif,tous rembourses,100 a 500 euros,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,etudes,veuf,29,1485,11,4,3,1,2,0
plus de 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,immobilier,proprietaire,credit dans un magasin,voiture occasion,marie,19,2138,16,1,4,2,1,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,reparations,celibataire,39,2247,15,4,3,1,2,1
0 a 200 euros,credits en cours ok,pas d epargne,plus de 7 ans,voiture,proprietaire,aucun,tv hifi,marie,41,839,26,2,4,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,equipement maison,celibataire,41,5593,22,4,4,2,1,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,proprietaire,credit dans une autre banque,voiture occasion,marie,39,2268,33,3,2,2,1,1
0 a 200 euros,defauts passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,30,2507,22,2,4,1,1,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,voiture,proprietaire,credit dans un magasin,tv hifi,veuf,25,3257,21,4,3,1,0,0
solde negatif,retards passes,moins de 100 euros,sans emploi,immobilier,locataire,aucun,equipement maison,celibataire,30,1384,19,4,2,1,1,1
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,38,3390,36,1,4,1,1,1
solde negatif,tous rembourses,100 a 500 euros,1 a 4 ans,assurance vie,proprietaire,aucun,tv hifi,marie,51,1874,19,4,2,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,sans emploi,voiture,locataire,aucun,tv hifi,celibataire,35,1280,12,4,4,1,1,1
0 a 200 euros,tous rembourses,plus de 1000 euros,1 a 4 ans,assurance vie,loge gratuitement,aucun,voiture neuve,celibataire,34,3688,27,4,3,2,2,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,reparations,celibataire,19,7144,17,3,2,1,0,0
pas de compte,credits en cours ok,pas d epargne,moins de 1 an,immobilier,locataire,aucun,equipement maison,marie,38,4113,31,3,4,1,1,0
pas de compte,defauts passes,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,credit dans une autre banque,voiture occasion,marie,52,4744,38,4,3,3,1,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,credit dans un magasin,voiture occasion,celibataire,33,1678,16,3,2,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,equipement maison,divorce,32,773,37,4,1,1,0,0
pas de compte,aucun credit,pas d epargne,1 a 4 ans,aucun,proprietaire,aucun,etudes,divorce,30,7136,31,1,4,1,2,0
solde negatif,credits en cours ok,pas d epargne,moins de 1 an,assurance vie,locataire,credit dans une autre banque,equipement maison,marie,42,10713,13,2,1,1,0,1
pas de compte,credits en cours ok,100 a 500 euros,moins de 1 an,voiture,locataire,aucun,tv hifi,celibataire,19,7412,11,4,4,2,0,1
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,voiture neuve,marie,49,1916,10,4,2,1,1,0
pas de compte,credits en cours ok,100 a 500 euros,moins de 1 an,aucun,proprietaire,aucun,equipement maison,celibataire,31,1063,9,4,4,1,1,0
0 a 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,autre,celibataire,39,1133,35,2,4,1,1,0
pas de compte,retards passes,moins de 100 euros,plus de 7 ans,voiture,locataire,credit dans un magasin,tv hifi,marie,44,726,17,3,2,2,0,1
0 a 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,celibataire,24,2259,45,2,3,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,loge gratuitement,aucun,equipement maison,celibataire,34,7755,12,3,4,1,2,0
pas de compte,aucun credit,moins de 100 euros,moins de 1 an,assurance vie,proprietaire,aucun,voiture occasion,celibataire,31,2204,14,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,celibataire,22,3034,25,4,3,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,voiture,locataire,credit dans une autre banque,tv hifi,celibataire,47,6571,44,1,4,1,1,1
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,assurance vie,loge gratuitement,aucun,tv hifi,veuf,30,1824,13,4,4,1,1,1
pas de compte,retards passes,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,credit dans une autre banque,voiture neuve,celibataire,22,10568,29,3,4,1,0,0
solde negatif,tous rembourses,500 a 1000 euros,1 a 4 ans,voiture,loge gratuitement,aucun,business,celibataire,34,10243,19,4,4,1,1,0
